x,y
20819.6,47624.6
46069,37306.6
-44484.5,-31109.1
1252.5,-30646.3
44595.4,-34474.5
44375,30011.9
-18250.9,-7393.69
-33488.9,-33260.8
-2716.32,-20470.2
-47373.1,642.867
32524,11796.4
-25833.9,40322.8
-919.079,35084.1
-46833.6,-33834.6
-4975.3,45916.8
-23611.6,22700.3
-44482.2,-26512.2
-9643.33,8068.23
10452.5,13082.4
-35701.4,-14906.9
-13642.2,23772.7
-27897.6,-17358.5
16799.2,-15076.3
12251.1,-760.47
18869.9,31986.2
-20198.9,-33137.9
30786.8,44492.2
45119.8,4172.93
535.352,-30447.7
-46067.6,4417.72
-25210.6,21665.4
-6257.56,41293.2
14027.7,47070.1
-22478.8,-11803.1
-44755.2,30637.3
-39065.4,13266.5
33203.6,-28099.1
43845.3,-35648.3
6160.38,49252
11777.5,-31672.2
-24712.4,-17684.5
-2259.27,-401.595
2402.53,-27008.7
-45761.5,3305.06
-26023.3,33218.9
46086.5,1342.65
-33947.1,39169.5
33425.9,-29873.3
-44969.8,-10680.4
5281.81,-21532.5
-35602.1,-40678.4
-6898.68,35397.8
-315.526,-36455.2
49369.5,-29564.7
4341.93,7135.55
13252.1,-49847.8
-8275.54,-28836.4
47163,-40286.2
49082.4,33826.9
-5114.75,-9273.14
-13041,17050.5
-47099.7,-20301.5
8541.25,-49138.1
46914.9,47850.8
-28413.6,-4754.25
-32989.9,-31083.3
33955.8,-46662.1
33334.9,-3870.29
-27447.3,30591.3
-11377,-4342.33
-30317.1,-13924
-38425.4,30781.5
-932.652,16660.1
41537.5,-46979.8
47779.7,-20099.8
27206.5,45116.7
32459.5,2481.77
-40648,-15874.6
3708.32,-11877.6
21538.5,21012.7
-36429.1,9559.48
-966.303,5530.07
34008.3,45160.5
-44377.8,-11570.4
10818.2,-17054.6
-46843.1,30611.8
-41040.1,-6047.73
-48968.1,3980.22
-23248.3,35349.5
-31846.8,-4701.08
3562.26,-27485.9
43178.4,28105.2
18808.5,40345.9
-43903.4,22287.6
-19441.7,-44212.4
-32416.8,-34165.2
30302.5,-34409.1
-47539.8,43352.2
38526.3,5626.42
-24184.5,-9802.05
-21128.6,43313.7
6599.06,-11848.2
15960.1,25140
12000.6,43501.2
19519,-46832.5
-48509.4,-30430.5
4327.7,-20203.4
-38825.2,-24935
-28100.6,41988.9
-3050.6,32687.1
-23694.8,30529.4
-47035.1,23543.6
-10687.3,-32749.3
-37206.9,7661.46
12867.4,-46964.9
31271.9,-5181.34
-40452.2,-44315.1
16566.9,28851.2
-23172.4,-17681.7
-30886.5,43374.2
14765.7,-36489.6
29070.5,24948.9
-1756.26,-11508.2
-2631.15,-24565.9
-21390,-2156.33
-28932.5,47815.5
-10080.4,43536.2
-28473.6,-8731.65
9339.17,2272.36
16900.4,-18039.4
21936.2,-34768.5
49994.6,46757.5
38046.7,33992.1
43925.7,-23658
13781.4,-307.467
-30387.6,-2560.27
30145.4,-21641.7
14342.7,49392.9
-1004.82,29123.6
22293.7,34003.4
-17995.2,-24077.2
35618.5,29131
26761.6,-48138
40695.5,-6438.77
8653.38,32285.2
8162.8,31085.7
-34474.1,26836.9
6336.53,-3886.03
4269.47,-22312.3
36700.9,-6198.53
11784.7,11611.7
